timestamp,aggregate_profile_W,per_household_profile_W,aggregate_dhw_W,per_household_dhw_W,P10_W,P50_W,P90_W,P_biomass_dhw_W,P_biomass_space_heating_W,P_biomass_total_W,P_coal_dhw_W,P_coal_space_heating_W,P_coal_total_W,P_district_heat_dhw_W,P_district_heat_space_heating_W,P_district_heat_total_W,P_el_ev_charging_W,P_el_grid_export_W,P_el_grid_import_W,P_el_gross_actual_W,P_el_total_W,P_gas_dhw_W,P_gas_space_heating_W,P_gas_total_W,P_oil_dhw_W,P_oil_space_heating_W,P_oil_total_W,P_propane_dhw_W,P_propane_space_heating_W,P_propane_total_W,P_pv_generation_W,Q_dhw_demand_W,Q_heating_supplied_W,Q_total_thermal_W
1981-07-20 13:00:00+02:00,14949.092120223571,149.4909212022357,32650.85189330933,326.5085189330933,109.48105760243782,147.0527189705272,147.05271897052774,1730.2635973472593,3791.9581570520168,5522.221754399276,274.7805072693322,428.14609731838556,702.9266045877177,0.0,0.0,0.0,0.0,2784.6672985656705,16389.615013344683,46973.074001124616,14949.092120223571,18532.696658091107,31077.620552661847,49610.31721075297,2006.3592886760148,10122.251305178397,12128.610593854411,289.1599700107683,2845.747333974932,3134.9073039857003,33368.126286345585,32650.85189330933,48604.6567667616,81255.50866007093
1981-07-21 13:00:00+02:00,14552.041187280629,145.52041187280628,32650.85189330933,326.5085189330933,99.73843784090921,147.0527189705272,147.05271897052748,1730.2635973472593,2257.6312344894454,3987.8948318367043,274.7805072693322,195.41414902925214,470.19465629858433,0.0,0.0,0.0,0.0,2793.5493535828564,14643.86942047803,45218.446353240775,14552.041187280629,18532.696658091107,19309.371257281768,37842.067915372885,2006.3592886760148,6435.38257848791,8441.741867163924,289.1599700107683,1579.351362929924,1868.5113329406925,33368.126286345585,32650.85189330933,30498.43304616452,63149.28493947383
1981-07-22 13:00:00+02:00,15264.27322867723,152.6427322867723,32650.85189330933,326.5085189330933,107.63275449512452,147.0527189705272,147.0527189705276,1730.2635973472593,3250.8589764611606,4981.1225738084195,274.7805072693322,213.98647956520816,488.7669868345404,0.0,0.0,0.0,0.0,2789.3643030781545,15771.569231937847,46350.33121520529,15264.27322867723,18532.696658091107,26043.63552699696,44576.33218508808,2006.3592886760148,8629.109376231765,10635.468664907778,289.1599700107683,2660.6074728244457,2949.767442835214,33368.126286345585,32650.85189330933,41401.224018019864,74052.07591132919
1981-07-23 13:00:00+02:00,14298.66904615379,142.9866904615379,32650.85189330933,326.5085189330933,85.4434758544352,147.0527189705272,147.05271897052754,1730.2635973472593,0.0,1730.2635973472593,274.7805072693322,0.0,274.7805072693322,0.0,0.0,0.0,0.0,2951.1309568169477,11203.10353682798,41620.09886635663,14298.66904615379,18532.696658091107,0.0,18532.696658091107,2006.3592886760148,0.0,2006.3592886760148,289.1599700107683,0.0,289.1599700107683,33368.126286345585,32650.85189330933,0.0,32650.85189330933
1981-07-24 13:00:00+02:00,14124.095044354002,141.24095044354002,32650.85189330933,326.5085189330933,85.4434758544352,147.0527189705272,147.0527189705272,1730.2635973472593,0.0,1730.2635973472593,274.7805072693322,0.0,274.7805072693322,0.0,0.0,0.0,0.0,2951.1309568169477,11203.10353682798,41620.09886635663,14124.095044354002,18532.696658091107,0.0,18532.696658091107,2006.3592886760148,0.0,2006.3592886760148,289.1599700107683,0.0,289.1599700107683,33368.126286345585,32650.85189330933,0.0,32650.85189330933
1981-07-25 13:00:00+02:00,14375.326814310987,143.75326814310986,32650.85189330933,326.5085189330933,85.44347585443518,147.0527189705272,147.05271897052748,1730.2635973472593,826.1918150306725,2556.4554123779317,274.7805072693322,0.0,274.7805072693322,0.0,0.0,0.0,0.0,2951.1309568169477,11203.10353682798,41620.09886635663,14375.326814310987,18532.696658091107,956.6588962980836,19489.355554389193,2006.3592886760148,0.0,2006.3592886760148,289.1599700107683,1463.9566332755508,1753.116603286319,33368.126286345585,32650.85189330933,2768.9187052237644,35419.77059853308
1981-07-26 13:00:00+02:00,14587.081593797768,145.87081593797768,32650.85189330933,326.5085189330933,147.0242495978643,147.0527189705272,147.05271897052754,1730.2635973472593,9631.966188605638,11362.229785952897,274.7805072693322,568.0890385241771,842.8695457935094,0.0,0.0,0.0,0.0,2784.6672985656705,27806.34930594472,58389.808293724665,14587.081593797768,18532.696658091107,88915.35484121967,107448.05149931082,2006.3592886760148,27301.085844916222,29307.44513359224,289.1599700107683,5458.047211398987,5747.207181409755,33368.126286345585,32650.85189330933,136354.78148681013,169005.63338011943
1981-07-27 13:00:00+02:00,14555.947711493287,145.55947711493286,32650.85189330933,326.5085189330933,85.44347585443556,147.0527189705272,147.05271897052748,1730.2635973472593,36.56487509146444,1766.8284724387236,274.7805072693322,223.33339753709444,498.1139048064266,0.0,0.0,0.0,0.0,2951.1309568169477,11211.568166060708,41628.56349558936,14555.947711493287,18532.696658091107,1119.1485786966223,19651.845236787733,2006.3592886760148,196.64408014505062,2203.0033688210656,289.1599700107683,0.0,289.1599700107683,33368.126286345585,32650.85189330933,1338.3701906194851,33989.222083928806
1981-07-28 13:00:00+02:00,14777.745310245282,147.77745310245282,32650.85189330933,326.5085189330933,117.92639729727873,147.0527189705272,147.0527189705272,1730.2635973472593,5344.005773109868,7074.269370457127,274.7805072693322,224.89178012544966,499.67228739478185,0.0,0.0,0.0,0.0,2784.6672985656705,19141.18593894844,49724.64492672837,14777.745310245282,18532.696658091107,42974.619756807704,61507.316414898814,2006.3592886760148,13872.542271038099,15878.901559714113,289.1599700107683,4214.43554201398,4503.595512024748,33368.126286345585,32650.85189330933,68281.10727188441,100931.95916519377
1981-07-29 13:00:00+02:00,14546.241624206416,145.46241624206417,32650.85189330933,326.5085189330933,85.44347585443518,147.0527189705272,147.0527189705276,1730.2635973472593,0.0,1730.2635973472593,274.7805072693322,31.935275105388907,306.7157823747211,0.0,0.0,0.0,0.0,2951.1309568169477,11203.10353682798,41620.09886635663,14546.241624206416,18532.696658091107,466.81361984620463,18999.510277937316,2006.3592886760148,180.44240650390876,2186.8016951799236,289.1599700107683,0.0,289.1599700107683,33368.126286345585,32650.85189330933,587.2561962580228,33238.108089567344
