scenario_id,climate_window_id,climate_pathway_id,technology_case_id,year,n_successful_realizations,mean_T_out_C,mean_T_out_C_median,winter_mean_T_out_C,winter_mean_T_out_C_median,summer_mean_T_out_C,summer_mean_T_out_C_median,HDD_15,HDD_15_median,HDD_18,HDD_18_median,CDD_22,CDD_22_median,mean_solar_W_m2,mean_solar_W_m2_median
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,2002,4,9.068509203767123,9.068509203767123,2.247616238064236,2.247616238064236,15.960043202275815,15.960043202275815,2367.1705322265625,2367.1705322265625,3311.062042236328,3311.062042236328,0.0,0.0,135.08435205172185,135.08435205172185
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,2003,4,9.832557824539812,9.832557824539812,4.76087646484375,4.76087646484375,18.05503911557405,18.05503911557405,2202.566650390625,2202.566650390625,3104.556854248047,3104.556854248047,29.885986328125,29.885986328125,133.98753777072855,133.98753777072855
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,2004,4,10.589833243948515,10.589833243948515,3.7839331993689904,3.7839331993689904,19.689220926036004,19.689220926036004,2076.047637939453,2076.047637939453,2920.589813232422,2920.589813232422,47.8238525390625,47.8238525390625,141.8513573141046,141.8513573141046
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,2005,4,9.442129892845676,9.442129892845676,3.81219719780816,3.81219719780816,16.91015326458475,16.91015326458475,2250.043182373047,2250.043182373047,3198.1558837890625,3198.1558837890625,8.61029052734375,8.61029052734375,137.7654826791319,137.7654826791319
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2050,1,12.293562045162671,12.293562045162671,5.539159478081597,5.539159478081597,21.849355614703633,21.849355614703633,1729.2892456054688,1729.2892456054688,2514.8980712890625,2514.8980712890625,146.7569580078125,146.7569580078125,153.84123928122324,153.84123928122324
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2051,1,10.038696707111516,10.038696707111516,4.371810234917534,4.371810234917534,15.85019186268682,15.85019186268682,2013.1947021484375,2013.1947021484375,2964.962921142578,2964.962921142578,5.156097412109375,5.156097412109375,140.95219174999082,140.95219174999082
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2052,1,11.272496708103867,11.272496708103867,6.200945508349073,6.200945508349073,17.450528020444125,17.450528020444125,1684.8922119140625,1684.8922119140625,2570.441375732422,2570.441375732422,3.908538818359375,3.908538818359375,141.65719382880164,141.65719382880164
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2053,1,10.787706516213612,10.787706516213612,2.376877170138889,2.376877170138889,20.074136485224184,20.074136485224184,2140.971649169922,2140.971649169922,2918.369110107422,2918.369110107422,55.08184814453125,55.08184814453125,146.84871377422385,146.84871377422385
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2054,1,11.11795980375107,11.11795980375107,2.1565599229600694,2.1565599229600694,21.37166164232337,21.37166164232337,2175.6454467773438,2175.6454467773438,2938.5300903320312,2938.5300903320312,150.0299072265625,150.0299072265625,148.5630897639549,148.5630897639549
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2055,1,10.807736415079194,10.807736415079194,4.9356055365668405,4.9356055365668405,18.1609002818232,18.1609002818232,1894.3068542480469,1894.3068542480469,2784.00634765625,2784.00634765625,38.2681884765625,38.2681884765625,138.26281626061217,138.26281626061217
